===== 변환 전 바이너리 데이터 (Offset: Hex | Binary) =====
[163] A3 | 10100011
[164] A4 | 10100100
[165] A5 | 10100101
[166] A6 | 10100110
[167] A7 | 10100111
[168] A8 | 10101000
[169] A9 | 10101001
[170] AA | 10101010
[171] AB | 10101011
[172] AC | 10101100
[173] AD | 10101101
[174] AE | 10101110
[175] AF | 10101111
[176] B0 | 10110000
[177] B1 | 10110001
[178] B2 | 10110010
[179] B3 | 10110011
[180] B4 | 10110100
[181] B5 | 10110101
[182] B6 | 10110110
[183] B7 | 10110111
[184] B8 | 10111000
[185] B9 | 10111001
[186] BA | 10111010
[187] BB | 10111011
[188] BC | 10111100
[189] BD | 10111101
[190] BE | 10111110
[191] BF | 10111111
[192] C0 | 11000000
[193] C1 | 11000001
[194] C2 | 11000010
[195] C3 | 11000011
[196] C4 | 11000100
[197] C5 | 11000101
[198] C6 | 11000110
[199] C7 | 11000111
[200] C8 | 11001000
[201] C9 | 11001001
[202] CA | 11001010
[203] CB | 11001011
[204] CC | 11001100
[205] CD | 11001101
[206] CE | 11001110
[207] CF | 11001111
[208] D0 | 11010000
[209] D1 | 11010001
[210] D2 | 11010010
[211] D3 | 11010011
[212] D4 | 11010100
[213] D5 | 11010101
[214] D6 | 11010110
[215] D7 | 11010111
[216] D8 | 11011000
[217] D9 | 11011001
[218] DA | 11011010
[219] DB | 11011011
[220] DC | 11011100
[221] DD | 11011101
[222] DE | 11011110
[223] DF | 11011111
[224] E0 | 11100000
[225] E1 | 11100001
[226] E2 | 11100010
[227] E3 | 11100011
[228] E4 | 11100100
[229] E5 | 11100101
[230] E6 | 11100110
[231] E7 | 11100111
[232] E8 | 11101000
[233] E9 | 11101001
[234] EA | 11101010
[235] EB | 11101011
[236] EC | 11101100
[237] ED | 11101101
[238] EE | 11101110
[239] EF | 11101111
[240] F0 | 11110000
[241] F1 | 11110001
[242] F2 | 11110010
[243] F3 | 11110011
[244] F4 | 11110100
[245] F5 | 11110101
[246] F6 | 11110110
[247] F7 | 11110111
[248] F8 | 11111000
[249] F9 | 11111001
[250] FA | 11111010
[251] FB | 11111011
[252] FC | 11111100
[253] FD | 11111101
[254] FE | 11111110
[255] FF | 11111111
[256] 00 | 00000000
[257] 01 | 00000001
[258] 02 | 00000010
[259] 03 | 00000011
[260] 04 | 00000100
[261] 05 | 00000101
[262] 06 | 00000110
[263] 07 | 00000111
[264] 08 | 00001000
[265] 09 | 00001001
[266] 0A | 00001010
[267] 0B | 00001011
[268] 0C | 00001100
[269] 0D | 00001101
[270] 0E | 00001110
[271] 0F | 00001111
[272] 10 | 00010000
[273] 11 | 00010001
[274] 12 | 00010010
[275] 13 | 00010011
[276] 14 | 00010100
[277] 15 | 00010101
[278] 16 | 00010110
[279] 17 | 00010111
[280] 18 | 00011000
[281] 19 | 00011001
[282] 1A | 00011010
[283] 1B | 00011011
[284] 1C | 00011100
[285] 1D | 00011101
[286] 1E | 00011110
[287] 1F | 00011111
[288] 20 | 00100000
[289] 21 | 00100001
[290] 22 | 00100010
[291] 23 | 00100011
[292] 24 | 00100100
[293] 25 | 00100101
[294] 26 | 00100110
[295] 27 | 00100111
[296] 28 | 00101000
[297] 29 | 00101001
[298] 2A | 00101010
[299] 2B | 00101011
[300] 2C | 00101100
[301] 2D | 00101101
[302] 2E | 00101110
[303] 2F | 00101111
[304] 30 | 00110000
[305] 31 | 00110001
[306] 32 | 00110010
[307] 33 | 00110011
[308] 34 | 00110100
[309] 35 | 00110101
[310] 36 | 00110110
[311] 37 | 00110111
[312] 38 | 00111000
[313] 39 | 00111001
[314] 3A | 00111010
[315] 3B | 00111011
[316] 3C | 00111100
[317] 3D | 00111101
[318] 3E | 00111110
[319] 3F | 00111111
[320] 40 | 01000000
[321] 41 | 01000001
[322] 42 | 01000010
[323] 43 | 01000011
[324] 44 | 01000100
[325] 45 | 01000101
[326] 46 | 01000110
[327] 47 | 01000111
[328] 48 | 01001000
[329] 49 | 01001001
[330] 4A | 01001010
[331] 4B | 01001011
[332] 4C | 01001100
[333] 4D | 01001101
[334] 4E | 01001110
[335] 4F | 01001111
[336] 50 | 01010000
[337] 51 | 01010001
[338] 52 | 01010010
[339] 53 | 01010011
[340] 54 | 01010100
[341] 55 | 01010101
[342] 56 | 01010110
[343] 57 | 01010111
[344] 58 | 01011000
[345] 59 | 01011001
[346] 5A | 01011010
[347] 5B | 01011011
[348] 5C | 01011100
[349] 5D | 01011101
[350] 5E | 01011110
[351] 5F | 01011111
[352] 60 | 01100000
[353] 61 | 01100001
[354] 62 | 01100010
[355] 63 | 01100011
[356] 64 | 01100100
[357] 65 | 01100101
[358] 66 | 01100110
[359] 67 | 01100111
[360] 68 | 01101000
[361] 69 | 01101001
[362] 6A | 01101010
[363] 6B | 01101011
[364] 6C | 01101100
[365] 6D | 01101101
[366] 6E | 01101110
[367] 6F | 01101111
[368] 70 | 01110000
[369] 71 | 01110001
[370] 72 | 01110010
[371] 73 | 01110011
[372] 74 | 01110100
[373] 75 | 01110101
[374] 76 | 01110110
[375] 77 | 01110111
[376] 78 | 01111000
[377] 79 | 01111001
[378] 7A | 01111010
[379] 7B | 01111011
[380] 7C | 01111100
[381] 7D | 01111101
[382] 7E | 01111110
[383] 7F | 01111111
[384] 80 | 10000000
[385] 81 | 10000001
[386] 82 | 10000010
[387] 83 | 10000011
[388] 84 | 10000100
[389] 85 | 10000101
[390] 86 | 10000110
[391] 87 | 10000111
[392] 88 | 10001000
[393] 89 | 10001001
[394] 8A | 10001010
[395] 8B | 10001011
[396] 8C | 10001100
[397] 8D | 10001101
[398] 8E | 10001110
[399] 8F | 10001111
[400] 90 | 10010000
[401] 91 | 10010001
[402] 92 | 10010010
[403] 93 | 10010011
[404] 94 | 10010100
[405] 95 | 10010101
[406] 96 | 10010110
[407] 97 | 10010111
[408] 98 | 10011000
[409] 99 | 10011001
[410] 9A | 10011010
[411] 9B | 10011011
[412] 9C | 10011100
[413] 9D | 10011101
[414] 9E | 10011110
[415] 9F | 10011111
[416] A0 | 10100000
[417] A1 | 10100001
[418] A2 | 10100010
[419] A3 | 10100011
[420] A4 | 10100100
[421] A5 | 10100101
[422] A6 | 10100110
[423] A7 | 10100111
[424] A8 | 10101000
[425] A9 | 10101001
[426] AA | 10101010
[427] AB | 10101011
[428] AC | 10101100
[429] AD | 10101101
[430] AE | 10101110
[431] AF | 10101111
[432] B0 | 10110000
[433] B1 | 10110001
[434] B2 | 10110010
[435] B3 | 10110011
[436] B4 | 10110100
[437] B5 | 10110101
[438] B6 | 10110110
[439] B7 | 10110111
[440] B8 | 10111000
[441] B9 | 10111001
[442] BA | 10111010
[443] BB | 10111011
[444] BC | 10111100
[445] BD | 10111101
[446] BE | 10111110
[447] BF | 10111111
[448] C0 | 11000000
[449] C1 | 11000001
[450] C2 | 11000010
[451] C3 | 11000011
[452] C4 | 11000100
[453] C5 | 11000101
[454] C6 | 11000110
[455] C7 | 11000111
[456] C8 | 11001000
[457] C9 | 11001001
[458] CA | 11001010
[459] CB | 11001011
[460] CC | 11001100
[461] CD | 11001101
[462] CE | 11001110
[463] CF | 11001111
[464] D0 | 11010000
[465] D1 | 11010001
[466] D2 | 11010010
[467] D3 | 11010011
[468] D4 | 11010100
[469] D5 | 11010101
[470] D6 | 11010110
[471] D7 | 11010111
[472] D8 | 11011000
[473] D9 | 11011001
[474] DA | 11011010
[475] DB | 11011011
[476] DC | 11011100
[477] DD | 11011101
[478] DE | 11011110
[479] DF | 11011111
[480] E0 | 11100000
[481] E1 | 11100001
[482] E2 | 11100010
[483] E3 | 11100011
[484] E4 | 11100100
[485] E5 | 11100101
[486] E6 | 11100110
[487] E7 | 11100111
[488] E8 | 11101000
[489] E9 | 11101001
[490] EA | 11101010
[491] EB | 11101011
[492] EC | 11101100
[493] ED | 11101101
[494] EE | 11101110
[495] EF | 11101111
[496] F0 | 11110000
[497] F1 | 11110001
[498] F2 | 11110010
[499] F3 | 11110011
[500] F4 | 11110100
[501] F5 | 11110101
[502] F6 | 11110110
[503] F7 | 11110111
[504] F8 | 11111000
[505] F9 | 11111001
[506] FA | 11111010
[507] FB | 11111011
[508] FC | 11111100
[509] FD | 11111101
[510] FE | 11111110
[511] FF | 11111111
[512] 00 | 00000000
[513] 01 | 00000001
[514] 02 | 00000010
[515] 03 | 00000011
[516] 04 | 00000100
[517] 05 | 00000101
[518] 06 | 00000110
[519] 07 | 00000111
[520] 08 | 00001000
[521] 09 | 00001001
[522] 0A | 00001010
[523] 0B | 00001011
[524] 0C | 00001100
[525] 0D | 00001101
[526] 0E | 00001110
[527] 0F | 00001111
[528] 10 | 00010000
[529] 11 | 00010001
[530] 12 | 00010010
[531] 13 | 00010011
[532] 14 | 00010100
[533] 15 | 00010101
[534] 16 | 00010110
[535] 17 | 00010111
[536] 18 | 00011000
[537] 19 | 00011001
[538] 1A | 00011010
[539] 1B | 00011011
[540] 1C | 00011100
[541] 1D | 00011101
[542] 1E | 00011110
[543] 1F | 00011111
[544] 20 | 00100000
[545] 21 | 00100001
[546] 22 | 00100010
[547] 23 | 00100011
[548] 24 | 00100100
[549] 25 | 00100101
[550] 26 | 00100110
[551] 27 | 00100111
[552] 28 | 00101000
[553] 29 | 00101001
[554] 2A | 00101010
[555] 2B | 00101011
[556] 2C | 00101100
[557] 2D | 00101101
[558] 2E | 00101110
[559] 2F | 00101111
[560] 30 | 00110000
[561] 31 | 00110001
[562] 32 | 00110010
[563] 33 | 00110011
[564] 34 | 00110100
[565] 35 | 00110101
[566] 36 | 00110110
============================================

out.json 파일이 정상적으로 생성되었습니다.
총 140개의 데이터 필드가 파싱되어 out.json 파일에 기록되었습니다.
